18:09:54.756: Date,Time,ChangeFlag,ACC X,ACC Y,ACC Z,IMU X_RATE,IMU Y_RATE,IMU Z_RATE,          IMU X_OFFSET,IMU Y_OFFSET,IMU Z_OFFSET,IMU ACC_X,IMU ACC_Y,IMU ACC_Z,MS5611 Temperature,MS5611 Pressure,GNSS Lat,GNSS Long,GNSS Alt,GNSS velocity,BME280 Pressure,BME280 Temperature,BME280 Humidity,
18:10:07.242: 0,0:0:0:3445,1,-19,-826,85,5180,-5530,17290,-1063237198,0,1,967,1,229,1852,99817,0,0,65344,8194,-1392510048,-1,0,
18:10:07.353: 8,0:0:0:3445,1,-117,-924,182,2590,-4690,1120,-1063240557,0,1,975,37,154,1852,99829,0,0,65344,8194,-1392510048,-1,0,
18:10:07.463: 8,0:0:0:3445,1,-68,-777,182,1680,-3780,2450,-1063237478,0,1,971,-51,253,1852,99817,0,0,65344,8194,-1392510048,-1,0,
18:10:07.678: 0,0:0:0:3445,1,-68,-875,85,3850,-5530,-2870,-1063240557,0,1,967,26,228,1852,99806,0,0,65344,8194,-1392510048,-1,0,
18:10:07.787: 0,0:0:0:3445,1,-19,-826,231,3430,-4690,1540,-1063243917,0,1,973,-17,182,1852,99817,0,0,65344,8194,-1392510048,-1,0,
18:10:07.895: 32,0:0:0:3445,1,-68,-972,182,2590,-5110,-3710,-1063241117,0,1,981,-27,257,1852,99806,0,0,65344,8194,-1392510048,-1,0,
18:10:08.004: 8,0:0:0:3445,1,-117,-826,85,3430,-5530,2870,-1063243917,0,1,981,-8,255,1853,99822,0,0,65344,8194,-1392510048,-1,0,
18:10:08.214: 0,0:0:0:3445,1,-19,-924,182,3850,-1540,1540,-1063239171,0,1,980,-35,223,1852,99829,0,0,65344,8194,-1392510048,-1,0,
18:10:08.324: 8,0:0:0:3445,1,-68,-924,36,1260,-9100,280,-1063237478,0,1,975,21,215,1852,99829,0,0,65344,8194,-1392510048,-1,0,
18:10:08.433: 0,0:0:0:3445,1,-68,-972,134,1260,-5110,4200,-1063237198,0,1,985,-14,195,1852,99817,0,0,65344,8194,-1392510048,-1,0,
18:10:08.646: 8,0:0:0:3445,1,78,-875,-12,3920,630,1120,-1063240557,0,1,998,-80,261,1851,99813,0,0,65344,8194,-1392510048,-1,0,
18:10:08.756: 0,0:0:0:3445,1,-19,-924,85,5180,-9100,16870,-1063242502,0,1,997,7,241,1851,99825,0,0,65344,8194,-1392510048,-1,0,
18:10:08.867: 32,0:0:0:3445,1,-117,-875,85,2590,-8610,3360,-1063239145,0,1,973,12,190,1851,99836,0,0,65344,8194,-1392510048,-1,0,
18:10:09.082: 8,0:0:0:3445,1,-19,-924,231,1260,-4200,-1050,-1063236068,0,1,972,0,246,1850,99832,0,0,65344,8194,-1392510048,-1,0,
18:10:09.193: 32,0:0:0:3445,1,-117,-924,-12,1260,-2870,2520,-1063237455,0,1,980,-7,250,1849,99827,0,0,65344,8194,-1392510048,-1,0,
18:10:09.304: 8,0:0:0:3445,1,-19,-924,134,1260,-1120,1190,-1063239400,0,1,993,-94,62,1848,99807,0,0,65344,8194,-1392510048,-1,0,
18:10:09.412: 8,0:0:0:3445,1,29,-924,134,4340,-6440,280,-1063245535,0,1,976,46,289,1847,99815,0,0,65344,8194,-1392510048,-1,0,
18:10:09.628: 8,0:0:0:3445,1,-117,-875,378,840,-8190,-1470,-1063244125,0,1,985,-66,141,1847,99815,0,0,65344,8194,-1392510048,-1,0,
18:10:09.740: 8,0:0:0:3445,1,-68,-875,36,4340,-700,1190,-1063244125,0,1,976,0,269,1846,99822,0,0,65344,8194,-1392510048,-1,0,
18:10:09.850: 0,0:0:0:3445,1,-19,-875,36,-910,-6860,2030,-1063242717,0,1,995,-12,182,1846,99822,0,0,65344,8194,-1392510048,-1,0,
18:10:10.062: 0,0:0:0:3445,1,29,-875,182,-910,-6860,-15890,-1063242717,0,1,984,-51,198,1846,99822,0,0,65344,8194,-1392510048,-1,0,
18:10:10.171: 32,0:0:0:3445,1,-19,-826,85,4760,-4200,3360,-1063242717,0,1,976,-31,253,1846,99822,0,0,65344,8194,-1392510048,-1,0,
18:10:10.283: 32,0:0:0:3445,1,29,-875,36,1680,-2450,3360,-1063242717,0,1,982,14,280,1846,99822,0,0,65344,8194,-1392510048,-1,0,
18:10:10.499: 8,0:0:0:3445,1,-68,-826,-12,3430,-4690,-140,-1063242717,0,1,990,-56,241,1846,99822,0,0,65344,8194,-1392510048,-1,0,
18:10:10.610: 32,0:0:0:3445,1,-68,-875,85,3010,12810,-1050,-1063242717,0,1,1000,29,132,1846,99822,0,0,65344,8194,-1392510048,-1,0,
18:10:10.720: 0,0:0:0:3445,1,-117,-777,134,1680,-3360,-1050,-1063242717,0,1,995,61,165,1846,99822,0,0,65344,8194,-1392510048,-1,0,
18:10:10.830: 0,0:0:0:3445,1,-117,-875,134,350,-7770,1120,-1063242717,0,1,973,-42,274,1847,99815,0,0,65344,8194,-1392510048,-1,0,
